file,Playing bitrate _audio,Playing bitrate _video,Playing/Buffering vmaf,Buffering bitrate _audio,Buffering bitrate _video,Buffer size in Bytes _audio,Buffer size in Bytes _video,Buffer size in Bytes,Buffer size in Seconds _audio,Buffer size in Seconds _video,Framerate,Current Dropped Frames,Total Frames,Total Dropped Frames,Total Corrupted Frames,Total Frame Delay,Throughput
./Netflix_Screen_Capture\2021-03-21_15-38-52.798.jpeg,3840,2160, 100/100,192 , 17857,6268584 , 440704019, 446972603,241.282 , 240.265, 23.976, 0, 24816, 1, 0, 761, 19894 kbps
./Netflix_Screen_Capture\2021-03-21_15-39-02.788.jpeg,3840,2160, 100/100,192 , 17857,6268584 , 442024493, 448293077,247.086 , 235.824, 23.976, 0, 25064, 1, 0, 761, 19140 kbps
./Netflix_Screen_Capture\2021-03-21_15-39-12.813.jpeg,3840,2160, 100/100,192 , 17857,6268584 , 453794522, 460063106,253.970 , 235.268, 23.976, 0, 25281, 1, 0, 761, 20454 kbps
./Netflix_Screen_Capture\2021-03-21_15-39-22.786.jpeg,3840,2160, 100/100,192 , 17857,6268584 , 466299404, 472567988,243.798 , 231.686, 23.976, 0, 25521, 1, 0, 761, 19792 kbps
./Netflix_Screen_Capture\2021-03-21_15-39-32.792.jpeg,3840,2160, 100/100,192 , 17857,6268584 , 492840412, 499108996,249.588 , 239.578, 23.976, 0, 25773, 1, 0, 761, 20344 kbps
./Netflix_Screen_Capture\2021-03-21_15-39-42.794.jpeg,3840,2160, 100/100,192 , 17857,5876407 , 495893078, 501769485,239.364 , 233.107, 23.976, 0, 26016, 1, 0, 761, 18907 kbps
./Netflix_Screen_Capture\2021-03-21_15-39-52.791.jpeg,3840,2160, 100/100,192 , 17857,6268584 , 496510899, 502779483,245.189 , 233.119, 23.976, 0, 26260, 1, 0, 761,
./Netflix_Screen_Capture\2021-03-21_15-40-02.788.jpeg,3840,2160, 100/100,192 , 17857,6268584 , 513082242, 519350826,252.018 , 236.919, 23.976, 0, 26481, 1, 0, 761, 16822 kbps
./Netflix_Screen_Capture\2021-03-21_15-40-12.786.jpeg,3840,2160, 100/100,192 , 17857,6268584 , 503087715, 509356299,241.825 , 232.649, 23.976, 0, 26720, 1, 0, 761, 19062 kbps
./Netflix_Screen_Capture\2021-03-21_15-40-22.802.jpeg,3840,2160, 100/100,192 , 17857,6268584 , 505837702, 512106286,247.668 , 234.639, 23.976, 0, 26969, 1, 0, 761, 19342 kbps
